question1	question2	is_duplicate
걔는 누굴 닮아서 그런거니?	누굴 닮아서 그런건지	0
모르는 걸까? 모르는 철 하는 걸까?	아는데 모른척하나?	0
제가나쁜건지 그녀가나쁜건지.	제잘못으로인한이별	1
짝녀한테 실망했음.	짝녀한테 실망했음.	0
이제 끝인 줄 알았는데 계속 좋아하고 있었어.	이제 청첩장 돌려도 되겠지?	1
술 끊을거야	술 좀 그만 마셔야지	0
돈 벌고 싶어	나도 월급 필요해	0
짝남이 나를 떠보는 걸까?	짝남이 나를 떠보는 걸까?	0
맘 잡았다고 생각했는데	맘터놓고 얘기할곳이 없네.	1
짝녀랑 드디어 사귄다!	짝녀랑 드디어 사귄다!	0
머리따로 마음따로 몸따로	머리는 아는데 가슴은 모르네	0
썸 확인법	썸 확인법	0
면접 때 너무 떨려	면접만 보면 떨려서 말을 못하겠어	0
무언가에 집중하는 남자가 좋아	집중 잘하는 남자가 좋아	0
눕자마자 잘 거 같아	누우면 바로 자	0
짝사랑 하던 사람한테 고백했는데 차임. 계속 좋아해도 될까.	짝사랑 하던 사람한테 고백했는데 차임. 계속 좋아해도 될까.	0
상사가 너무 괴롭혀	상사 때문에 힘들다	0
짝녀를 반 애들 다 알게 공개적으로 좋아하면 싫어할까요?	짝녀를 반 애들 다 알게 공개적으로 좋아하면 싫어할까요?	0
아름다운 이별은 없는걸까 ㅠ	아무도 안 놀아줘	1
만나는게 싫지는 않아	만날 땐 좋고 안 만나도 괜찮은 거 같아	0
짝남한테 크리스마스 선물할건데 추천 좀.	짝남한테 크리스마스 선물할건데 추천 좀.	0
썸남한테 소개팅 나가라고 해볼까?	썸남한테 소개팅 나가라고 해볼까?	0
짝남한테 실망했어요.	짝남한테 실망했어요.	0
여자친구의 감정기복이 너무 심해.	여자친구의 감정기복이 너무 심해.	0
편두통 온다	머리 한 대 맞은 거 같아	0
부모님께 보여드리고 싶은 사람 있어	부모님께 보여드리고 싶어	0
혼자 여행 가도 괜찮을까?	혼자 여행 괜찮을까?	0
밤새 그리워서 편지 썼어	그립다고 밤새 편지 썼어	0
사랑하는 사람이 떠난대	내가 사랑하는 사람이 떠난대	0
여자친구가 결혼을 원해	여친이 결혼하재	0
집안일이 너무 많아	집안일 쌓여 있다	0
해봤자 쓸 데 없을 텐데	쓸데없는 일 하는중	0
답프로포즈 해볼까?	데이트비용이 너무 많이 나와	1
그녀에 sns를 봤습니다.	그녀와 이별을 할때마다 한나씩 잃었었네.	1
어떻게 용기를 내	용기를 내야 되는데	0
좋아하는 사람이 있는데 고백하는 건 싫어요.	좋아하는 사람이 있는데 고백 못하겠어요.	0
난 나대로 걍 산다	난 왜이리 바보 같을까.	1
4년을 엊그제 마무리 했습니다	5년 10개월간 연애. 그리고 이별 준비 중	1
나 무시하는 사람 짜증나	나 무시하는 사람 어떻게 해?	0
정말 끝까지 저의 마지막 자존심마저 뭉개버리네	정말 너무너무 힘듭니다	1
좋아하는 남자애랑 약속 잡았는데 계속 연락 없어.	좋아하는 누나가 날 너무 어린애 취급함.	1
친구인데도 너무 잘되니까 약 오르네	친구가 잘되니까 약 올라	0
너의 향기를 지우려.	넌 그냥 외로움을 달래기 위한 거였겠지.	1
재테크 하는 방법 알려줘	재테크 어떻게 해	0
여자들은 좋아하는 사람한테만 잘해줘?	여자들은 좋아하는 사람한테만 잘해줘?	0
건강한 다이어트법	건강하게 다이어트 하는 방법	0
남자친구가 게임을 너무하는게 고민이야.	남친 맨날 게임만해	0
늦어지고 있는데 변명이 생각 안나	오늘 지각인듯 뭐라 그러지	0
차로 데려다 줬어	차로 데려다 줬는데	0
결혼하는데 돈이 엄청 드네	결혼하는데 보통 얼마 들어?	0
귀가 가려워	귀가 간지러	0
집들이 선물 뭐가 좋아	집들이 선물 뭐 사갈까	0
내가 왜 주제 넘은 짓을 했을까 가만히 있을걸	내가 주제 넘게 말한 것 같네.	0
이제 보내 주려 합니다	7년반 연애 끝났습니다.	1
점점 호감 간다	처음에는 별로 였는데 호감 간다	0
주름살이 조금씩 생긴다.	나 주름살 있나?	0
엄마 말씀 잘 들을걸	엄마 말씀 안 들은거 후회돼	0
읽씹은 아프네	잊고싶어도 잊질못하네	1
좋아하는 남자애에게 어떤 생일선물을 주면 좋아할까요?	좋아하는 마음 그만두기 힘든데 짝남이 헷갈리게 해.	1
아프지 않은 이별은 없지만, 헤어지는게 답인 관계는 있더군.	아픔을 지니고 사랑한다는 것	1
진짜 사랑해서 아픈 느낌.	진짜 이해가 안가 근데 잊을려고	1
육아 휴직 해야 하나	혼자 해야 돼	1
부모님이 이혼할 거 같아	엄마 아빠 이혼하실 거 같아	0
전화를 왜 안 받냐 진짜	전화 왜 안 받지	0
잘 먹는 여자가 좋아	잘 먹는 게 좋지	1
잘 지내고 있네여.아무일 없다는듯이.	잘못인줄 모르는 여자	1
후폭풍이 오네.	후회없이 사랑했어	1
어제 밤 샜어	밤 샜어	0
썸남이랑 궁합	썸남이랑 궁합	0
힘든 것좀 끝났으면	힘든 시기가 지나갔으면	0
내가 예민한걸까?	내가 제일 무서운건.너를 못잊을것 같은거야.	1
종교가 다른 짝남과 연애할수 있을까?	종교가 다른 짝남과 연애할수 있을까?	0
썸타는 애랑 잘되는 팁 좀	썸타는 애랑 잘되는 팁 좀	0
주말에 알바 해야 할까	주말에 이틀동안 아르바이트 구해야 하나	0
놀면서 돈 벌고 싶어	일 안하고 돈 벌고 싶어	0
내 사랑에게	내 안에서 없애고 싶다	1
2년째 동거중인데 결혼하려고	2년째 좋아하는 사람이 있어.	1
제가 그동안 착각 속에 살았습니다	제가 집착하는 중이에요	1
오늘따라 너무 힘드네	오늘만큼은 푹자고 싶은데.	1
시간표 잘못짰다	시간표 망함	0
썸 타는 사이가 이렇게 편해도 되나?	썸 타는 사이인데 너무 간섭해.	1
현실적인 문제에 헤어짐이 다가오고 있어. 결국 이별일텐데	혼자 놀로다니기만 하는 남자	1
일 대충했대	대충했다고 혼났어	0
나혼자 설레는게 한심해.	날 좋아하던 여자애가 반응이 없어.	1
몇 달을 좋아했는데 달라진게 없어요.	몇 달을 만나도 달라진게 없어요.	0
이별 6일째	이별 너무 힘드네ㅠ	1
웨딩드레스 입어보고 싶었어	웨딩드레스 입어보고 싶었어	0
뜨끈한 온천가고 싶다.	겨울에는 온천이지!	0
여자들이 보통 좋아하는 음식이 뭐야?	여자들이 좋아하는 음식이 뭐야?	0
업무 스트레스 넘 심해	넘 많이 먹었다.	1
새 프사 사진에 너는 행복해 보이네	카톡차단 당했어	1
에너지 넘치는 사람	나도 힘내야지	1
꿈꾸니까 진짜 힘드네ㅜ	꿈에 나온 헤어진 여자친구	0
세상일 참 맘대로 안된다.	소개팅에서 좋은 사람 만나기 힘든거네.	1
헤어지고나면 다른게.	헤어지기전 하소연.	1
연하 어때?	연하랑 사귀는 거 어때?	0
2달반이라는 시간동안 많이 괜찮아졌어	2주동안 참을만 했는데	1
자기 기준에 맞추라는 사람	자기 기준에 맞추라는 사람	0
우산 없는데 같이 쓰자고 할까 너무 진부한가	우산 같이 쓰자고 해볼까?	0
인형 선물 받았어	인형 선물 받았어	0
사랑한다고 말해줘	나 사랑하니?	0
점심 메뉴 추천	오늘 점심 뭐 먹을까	0
막말해서 상처줬어	생각없이 상처줬어	0
보고싶다	보고 싶어 사무칠때	0
짝녀한테 여러 번 차였는데 사귈 수 있을까요.	짝녀랑 사귈 수 있을까요.	0
잊고있다 생각했는데	잊어보려고	1
진정 사랑에 대해 배워가는중입니다	진정 사랑에 대해 배워가는중입니다	0
이렇게 치열한 경쟁은 싫어	경쟁이 너무 치열해	0
여자친구 요구가 심해져	여자친구 요구가 심해져	0
남자친구 오늘 따라 훈훈해 보인다	남자친구가 너무 잘생겼어	0
연락 자주 하는데 친군가	연락하고 싶어지네.	1
어이없는연애? 끝난걸까, 진행중일까.	어제 새벽에 그녀에게 전화가왔습니다	1
낙엽 밟는 소리 좋다	낙엽밟는 소리	0
혼자 노래방 가면 어색할 거 같은데	노래방 가면 어색할까	0
게스트하우스에서 만난 짝남이 관심이 가는데 내게 말 걸게 하고 싶어.	결혼 생각 없는데 꼭 남자친구 부모님을 만나야할까?	1
두달 사겼어	이제 두달 사귀었어	0
만난지 100일 됐는데 여행가재	100일 기념 여행가재	0
심심한데 뭐하지	심심한데 뭐하면 좋을까	0
짝사랑 했던 그에게 여자친구가 생겼어.	짝사랑 했던 그가 떠나갔어.	1
식상한 말이라도 사랑한다고 했으면 좋겠다	사랑한다고 했으면 좋겠다	0
결혼도 다 돈이다.	결혼준비 돈 많이 들겠지	0
억울한 현실	언제쯤 괜찮아지려나	1
너무 답답한데.	너무 매달렸나봐	1
청첩장 누구누구한테 주지?	청첩장 다 직접 챙겨 줘야 하나?	1
인생 잘 못 산건가	인생 헛산듯	0
내 문제는 뭘까	내 문제점이 뭘까	0
숙제가 쌓여가	숙제 산더미	0
맘 편한 데가 없어	마음 둘 곳이 없어	0
사랑은 나이를 초월해?	나이 먹으니까 왠만한건 초월하게 돼	1
미운 짓만 해	마음에 안 드는 짓만 해	0
좋아하는 사람이 나한테 먼저 연락오게 하는 방법?	좋아하는 사람한테 먼저 연락 오게 하는 방법?	0
짝사랑 하는 여자 때문에 신경이 곤두서.	짝사랑 하는 여자 때문에 신경이 곤두서.	0
체육대회 싫어	체육대회 안 했으면	0
남자친구의 말 뜻	낭만이라고는 없어가지구	1
머리가 너무 아프네	머리 아파	0
목소리 듣고싶어	몸이 멀어지면 마음도 멀어진다는말 어떻게 생각해?	1
재밌게 해줘	나 웃겨봐	0
좋아하는 여자 생겼는데 호감 표시하려면 어떻게 해야 해?	좋아하는 애한테 페메 해볼까.	1
이별. 버텨라	이별1년 8개월차	1
이별후 그리움이 생생한 오늘	이별후 열흘 뒤에 붙잡았어	1
서로 좋아하는 줄 알았는데 짝사랑이었네요.	사랑인 줄 알았는데 나만 좋아한 거였네요.	0
기분이 너무 좋아.	개좋아	0
소개해 준다는 사람도 없어	소개팅이 왜 안 들어올까	0
딴 일 찾아볼까	나 다른 거 할까	0
건강검진 왔어	건강검진하러 옴	0
여자친구가 나를 안 질려하려면 뭘 준비해야할까?	여자친구가 나를 안 질려하려면 뭘 준비해야할까?	0
계속 생각나는 사람.	고민이 되네	1
전부 가시밭길 같아	내 인생은 가시밭길 같아	0
과함 설렘 후에 지금은 안 설레	과함 설렘 후에 지금은 안 설레	0
고백은 어떻게 하는거야	고백 하는 방법 좀 알려줘	0
충전기 안 가져왔다	보조베터리 안 가져왔다	0
여친이 너무 예민해	더워서 예민해져 잠을 못 자 	1
sns에서 다른 이성이랑 대화하는걸 보니 화가 나	가슴에 구멍이 너무 커.	1
집착같은데 걔는 뭐라고 생각할까	집착인가	0
갑자기 힘드네	같이 마지막으로 다녀온 여행 생각나	1
일만 하다 죽을 것 같아	회사 일이 너무 많아	0
이상하게 놓치고 싶지 않는 사람이 있어	이상하게 놓치고 싶지 않는 사람이 있어	0
개강옷 예쁘게 입어 볼까	개강룩 입어볼까	0
수백번 싸우고 수백번 화해	술기운에 연락했는데.	1
다시 이별	다시 한번 더 붙잡고 싶어 ㅠㅠ	1
힘들어 죽을거 같습니다	힘이 없어	0
나쁜 습관이 안 고쳐져	잘 못 들인 나쁜 습관 못 고치겠어	0
나 같이 서로 좋아하는 거 확인하고 사귄 사람 있나.	나 사랑에 빠졌죠	1
이 바보탱이	이 멍충아	0
부모님 반대가 너무 심해	부모님 너무 심하게 반대 하셔	0
남자들에게 말 못하는 여자들의 이별 세가지.	남자의심리 모르겠어	1
오늘 꿈에는 짝남이 나왔으면.	오늘 꿈에는 짝남이 나왔으면.	0
친구랑 말다툼했어	친구랑 싸웠어	0
천사같은 여자친구가 유학갔어 	썸타다 끝났어	1
머리스타일 어떻게 바꾸지	머리 어떻게 할까?	0
고백하고 싶어	고백 하려는데 기회를 못잡겠어	0
여자친구랑 뭐하고 노나	여자친구랑 뭐하고 노나	0
우을증있는 여자친구	울적한 아침이에	1
결혼한지 1년 됐는데 넘 좋아	결혼한지 3개월 행복해	1
딩크족으로 살거야	걍 딩크족으로 살거야	0
썸 탈 때 꽃 선물 부담스러워 할까	썸 탈 때 꽃 선물 부담스러워 할까	0
개당황했잖아  갑자기 물어 봐서	갑자기 물어봐서 당황했어	0
썸녀 웃기는 방법 좀	웃기는 방법 좀	0
좀 있으면 귀국하는데 짝녀에게 뭘 챙겨줄까?	좀 있으면 귀국하는데 짝녀에게 뭘 챙겨줄까?	0
물배달 시켜야겠다.	물 주문해야지	0
음식 편식하는 사람 사겨도 돼?	음식 많이 가리는 남자를 사겨도 괜찮을까?	0
차였는데 좋아하는 감정이 사라지질 않아요.	차였는데 좋아하는 감정이 사라지질 않아요.	0
사랑하면 좋을까?	사랑하면 뭐가 좋을까?	0
화장으로 여드름이 가려질까?	여드름 피부 화장으로 가릴까?	0
영화 보러 왔어	영화보고 왔다	0
남자친구가 너무 조급해.	남자친구가 성격이  너무 조급해.	0
아직도 공부할 게 많아	또 공부해야돼	0
군대 기다려 주려고	군대 기다려도 될까	0
말하는 거 귀여워	말하는 거 너무 귀여워	0
폰이 점점 느려지는듯	몇 년 되니까 폰 느려지는듯	0
썸녀한테 크리스마스 선물 오바인 부분?	눈치 보임.	1
자꾸 설사해	자꾸 설사해	0
경제력 보는게 이기적인거야?	계속 좋아하는 거 무리일까요.	1
새해 치킨복 많이 받으세요	절하고 세뱃돈 받아야지	1
썸타는 중인데 답 잘 안보내	썸타는 사람이랑 연락이 잘 안돼	0
재밌는거 할 줄 알아	재밌는거 없나?	1
넘치는 사랑 받고 있어	내가 생각해도 넘치는 사랑 받고 있어	0
카톡하는데 자꾸 웃음 나.	카톡하는데 자꾸 웃음 나.	0
남자친구가 표현이 너무 없어. 너무 무뚝뚝해.	남자친구가 표현이 너무 없어. 너무 무뚝뚝해.	0
남자친구가 자존심이 너무 쎄	남자친구가 자존심이 너무 쎄	0
대리님은 갈구는게 취미인 듯	대리님이 너무 갈궈	0
전 왜 이렇게 안똑똑할까요?	전남친 여친 생겼네	1
꿈에 나온 여자를 어떻게 찾을 수 있을까?	꿈에서 만나자	1
스케일링 하기 귀찮아	스케일링 하러 가야지	0
기능 좀 알려줘봐봐	할 줄 아는거 뭐야?	0
사랑 못 받는 느낌에 우울해	사랑 받지 못한다는 느낌 때문에 우울해	0
좋아하는 거 기준이 뭐임?	좋아하는 감정이 뭐예요?	0
여자친구가 너무 좋은데 자존감을 너무 떨어뜨려.	여자친구가 너무 좋은데 자존감을 너무 떨어뜨려.	0
첫데이트 하자마자 차임;?	첫사랑이자 5년연애	1
나 혼자 여행 왔는데 괜찮네	혼자 여행 왔어	0
자전거 데이트 어떨까?	자전거 데이트 어떨까?	0
그녀를 다시 찾았습니다	그녀를 되 찾았습니다	0
너무 편해도 안 좋아	너무 편해진 거 같아	0
능력치 제로	능력이 없는 거 같아	0
여자친구 오지랍 장난 아님	여자친구 오지랍 장난 아님	0
그래 오늘 내가 찼어	그런 여자가 있었지하고 잊혀지겠지	1
썸남이 연락이 안돼	썸남이 연락을 안 받아	0
전여친 한테 두달만에 연락이 왔어.	전여친한테 남친이 생겼네	1
물건 사는것도 힘드네	쇼핑했더니 힘드네	0
어떻게해 늦잠 잤어	오늘 또 늦잠잤어	0
쉬운 게 하나도 없네	쉬운 게 없네	0
누구에게나 친절한 남자 위험해?	누구에게나 친절한 남자 위험해?	0
집들이 해야지!	집들이 초대해야겠다.	0
술 먹을 줄 알아?	술 잘하니	0
그냥 쉬고 싶다.	격렬하게 쉬고 싶다.	0
어둠에서 나와야 할 듯	이제 어둠에서 나오려고 해	0
회사만 가면 우울해	회사만 가면 우울해	0
애버랜드 가고 싶어	놀이동산 가고 싶어	0
몸이 여러 개면 좋겠다	내 몸이 여러 개 였으면 좋겠다	0
재회 후 이별 !	재회를 한다해도	1
로맨틱한 사랑을 원해	로맨틱한 사랑하면 안 되나	0
중국으로 진출해볼까?	나 중국간다.	1
짝사랑하는 사람한테 선물 주면 부담될까	짝남한테 선물 주면 부담스러워할까	0
축의금 보통 얼마내?	축의금 얼마 내지?	0
이제 사진 지운 이유는?	이제 이 곳 올 일 없을거 같네	1
감정이 쓰레기통처럼 엉망진창이야	나 감정쓰레기통이었나봐	0
하하하~ 유쾌하네	정말 오랜만이네	1
책상 정리할거야	싱크대 설걷이 너무 많아.	1
좋아하는 남자애한테 어떻게 관심 표현함?	좋아하는 마음을 전할 수 있을까.	1
사랑은 주고 받는 거지?	사랑은 주고 받는 거지?	0
동상 걸릴거 같아.	동상 걸릴 뻔했어	0
아 아른거려	아! 어찌해야 되나	1
물 많이 마셔야 돼	물 자주 마셔야지	0
신용카드 다 없애야겠어	이 놈의 신용카드 다 없애야지	0
오늘 야근인가	야근각	0
여자친구가 게임을 너무하는게 고민이야.	여자친구가 게임을 너무하는게 고민이야.	0
운동 갔다 다칠 뻔했어	운동하다 다칠뻔	0
나 기억했으면 좋겠다	나 사랑할 자격 없는 사람이야	1
인정받고 싶은데 어떻게 해야돼?	인정받으려면 어떻게 해야돼?	0
남자친구가 내 편을 안 들어 주고 조언만 해줘	남자친구가 내 편을 안 들어 주고 충고를 해줘	0
보고 싶다고 하네	보고 싶습니다	1
잠을 못 잤더니 힘들다	잠을 못 잤더니 너무 졸려	0
사랑니 나는 것 같아 아파	사랑니 나나봐	0
대우를 안해줘	대우가 별로야	0
진짜 대단하다.	멋진 사람인지 알았지만 정말 대단하네	0
내가 진짜 즐길 수 있을게 뭘까	진정으로 즐거운 게 뭘까?	0
썸녀가 약속 시간을 안 지킴.	약속 시간을 안 지킴.	0
무시 당했어	이상한 사람 너무 많은 것 같아	1
사람들은 내가 그 남자를 좋아하는 거라는데 난 이해가 안가.	나는 그냥 그 사람 칭찬한건데	1
전 애인 만났어. 	전애인 만났는데 모르는 척할까?	0
좋아하는 사람이 하는 행동에 하나씩 의미 부여하는게 짜증나.	좋아하는 사람이 하는 행동에 하나씩 의미 부여하는게 짜증나.	0
아날로그 감성 카메라 샀어	필름 카메라 샀어	0
좋아하는게 이렇게 힘든건가	헤어졌는데 아직도 좋아	1
만나자고 약속 잡는 것도 귀찮아	누굴 만나는 것도 귀찮아	0
이러다 또 흐지부지하고 말겠지	항상 흐지부지야	0
사랑 지키는 방법	사랑하는 사람이랑 놀러 다니고 싶다.	1
간장치킨 시켜야지	치킨 시켜야지	0
헤어진지 10일째.	헤어진지 10일 지났네	0
지나간다.	지옥같은 5월이 다가 오네ㅜㅜ	1
친한 동생인데 짝사랑하는 것 같습니다.	친한 동생인데 짝녀가 된 것 같아요.	0
내 마음을 보여주는 게 어려워	내가 누굴 좋아하는지 헷갈리면 이상해?	1
연락해보고싶네	연애 중 주고 받았던 문자 다시 보면 눈물이 나	1
어떤 연애 하고 싶어?	어떤 연애 하고 싶어?	0
핸드폰 패턴 궁금해	패턴 풀어볼까	1
시어머니가 나만 미워하는 것 같아	시어머니가 차별해	0
짝사랑하면 어떤 기분이야?	짝사랑하면 어떤 기분이야?	0
돈 없어도 갈 수 있는 데이트 코스	돈 안드는 데이트 코스	0
집들이 어떻게 해	집들이 하기 싫어	0
나 자꾸 놀리는 애가 있는데 나 좋아하는건가.	자꾸 놀리는 애가 있는데 나 좋아하나.	0
7년이라는 세월 함께한 애인과 이별하게 되었습니다.	8년 긴 만남의 끝은 힘드네	1
둘이 사귀는 거 같애	나 몰래 사귀는 거 같애	0
헤어져야 하나.	헤어졌는데 가끔 궁금해져	1
남의 눈을 너무 신경써	여자친구가 남의 눈을 너무 신경써	0
남자친구에게 고민이나 속사정을 어디까지 얘기해?	남자친구의 학력이 너무 높아서 내가 부족해 보임	1
앞으로 뭐 해먹고 사냐	미래에 대한 고민	0
썸 타는 사람 이름 뭐라고 저장할까?	썸 타는 사람 이름 어떻게저장할까?	0
너무 힘들다	외로워	1
나만 반친구 없어	반에 친구가 없어	0
택배가 안 와	택배 기다리고 있어	0
현실의 벽	혹시나, 역시나	1
자장가 불러 달랬더니 불러줬어	자장가를 불러준 사람	0
헤어진지 1년되가.	헤어진지 이제 5개월.	1
한달동안 대답이 없는게 아직도 생각하면 비참한데	한달이 넘었지만	1
기분 꿀꿀해	오늘 울적하다.	0
마음이 변할까봐 두려워	내 마음도 언젠가는 변할까	0
남자친구가 짠돌이라서 돈 쓸 때 엄청 아까워해	남자친구가 짠돌이야	0
배가 넘넘 고파	배고프다.	0
그 사람이 날 좋아할리는 없겠지?	그 사람이 날 좋아할리는 없겠지?	0
먹고 자고 먹고 자고	먹고 자고	0
한복 빌려도 예쁠까	한복 맞출까 빌릴까	0
사랑의 묘약 같은 거 있나?	사랑의 묘약 필요해	0
짝남은 나한테 관심이 없는 것 같애.	짝남은 나한테 관심이 없는 것 같애.	0
오늘 나 좀 잘생겨 보인다.	나 오늘 따라 잘생겨 보이네	0
썸 끝난거지?	썸 끝난거지?	0
매운 닭발 먹고 싶다.	매콤한 닭발 생각나	0
여자친구가 내 의견 안 들어	여자친구가 내 의견 안 들어	0
술 안 먹으면 친구랑 뭐하지	술 먹는 거 말고 친구랑 뭐하지	0
도서관 앞자리 사람 괜찮다.	도서관에서 괜찮은 사람 봤어	0
먹고 나니까 졸리당	많이 먹었더니 졸려	0
사귄지는 며칠 안됐었지만	사람은 감정적인 동물이라	1
설렘이 사라진 거 같아	설렘이 없어	0
여자친구랑 피시방데이트도하고싶은데 어떻게 말을 할까?	여자친구랑 피시방데이트도 하고 싶은데 어떻게 말을 할까?	0
